name,mass,radius,right_ascension,declination,distance
Kepler-45 b,0.505,0.96,292.8729025,41.064265638888884,333.0
WASP-16 b,0.855,1.008,214.68301083333333,-19.72448827777778,195.2
WASP-90 b,0.63,1.63,315.5319879166667,7.056254777777777,340.0
KMT-2018-BLG-1025L b,0.01906,0.208,269.8666666666667,-26.121944444444445,6705.0
K2-108 b,0.187,0.471,123.38187916666668,16.419613805555556,262.4
TOI-913 b,0.0207,0.219,234.57083333333333,-79.19666666666667,65.1769
K2-414 b,0.00622,0.109,351.6375,-3.393333333333333,260.036
K2-414 c,0.0138,0.172,351.6375,-3.393333333333333,260.036
HAT-P-54 b,0.76,0.944,99.89799250000002,25.482543611111108,135.8
TOI-969 b,0.02863,0.247,115.1375,2.0986111111111114,77.2554
TOI-969 c,11.3,1.11,115.1375,2.0986111111111114,77.2554
Kepler-1826 b,0.00874,0.132,292.7708333333333,48.89972222222222,336.952
Kepler-1827 b,0.0129,0.166,292.2541666666667,40.79277777777778,686.461
WASP-61 b,2.06,1.24,75.29966125,-25.945842583333334,480.0
K2-30 b,0.624,1.196,52.3419775,22.299409472222223,336.3
Kepler-434 b,2.86,1.13,293.5863929166666,42.76224444444444,1240.0
CoRoTID 223977153 b,0.15,0.57,100.19583333333334,9.2575,586.2
WASP-136 b,1.51,1.38,0.32575,-7.073707305555555,164.0
K2-287 b,0.315,0.847,233.07436125,-21.641732388888887,159.05
HATS-3 b,1.138,1.697,312.4574383333333,-23.571238944444442,556.0
GJ 357 b,0.00579,0.109,144.00682166666667,-20.3392005,9.44
Qatar-8 b,0.371,1.285,157.4125,70.52722222222222,276.7
Kepler-1933 b,0.00553,0.105,283.9958333333334,39.91694444444444,328.007
TOI-2842 b,0.37,1.146,108.04583333333333,-9.360555555555557,460.995
KMT-2019-BLG-1367L b,0.01284,0.165,272.4708333333333,-28.23777777777778,4670.0
2MASS J0642+4101,12.0,1.23,100.52329166666667,41.03333333333333,16.1
Kepler-9 b,0.25,0.84,285.5739766666667,38.400882555555555,650.0
Kepler-9 c,0.17,0.82,285.5739766666667,38.400882555555555,650.0
Kepler-9 d,0.022,0.147,285.5739766666667,38.400882555555555,650.0
Kepler-14 b,8.4,1.136,287.7087920833334,47.33302119444445,980.0
BD+60 1417 b,15.0,1.31,190.88750000000002,69.0144,44.957
Kepler-36 b,0.01346359,0.13778,291.25017916666667,49.231842,436.937
Kepler-36 c,0.02541726,0.33526835,291.25017916666667,49.231842,436.937
KOI-135 b,3.23,1.22,285.24084750000003,46.66824022222222,1950.0
TOI-2570 b,0.82,1.217,87.1875,32.08416666666667,361.857
TOI-1452 b,0.01517,0.149,290.17499999999995,73.19500000000001,30.5212
WASP-3 b,2.06,1.454,278.6333333333333,35.66166666666666,220.0
Kepler-1854 b,0.0227,0.231,286.2875,37.386944444444445,423.348
2M 2206-20 b,30.0,1.3,331.59500833333334,-19.215027777777777,26.67
2M 2140+16 b,20.0,0.92,325.12083333333334,16.421666666666667,25.0
Kepler-307 b,0.023403,0.29162,297.7951045833334,40.417685999999996,705.48
Kepler-307 c,0.011468,0.25516,297.7951045833334,40.417685999999996,705.48
KMT-2022-BLG-0440L b,0.04845,0.361,269.5833333333333,-31.70472222222222,3500.0
KMT-2021-BLG-2478L b,0.9,1.24,269.3083333333333,-28.898055555555555,2970.0
TOI-1052 c,0.10792,0.578,337.5083333333333,-74.35333333333332,129.804
TOI-1052 b,0.05317,0.256,337.5083333333333,-74.35333333333332,129.804
TOI-1442 b,0.005,0.1044,287.29166666666663,74.17222222222223,41.2
CoRoT-6 b,2.96,1.166,281.07253208333333,6.663198277777778,657.2
Kepler-1987 d,0.0238,0.291,295.82499999999993,42.94333333333333,595.683
Kepler-1987 e,0.0137,0.219,295.82499999999993,42.94333333333333,595.683
Kepler-1987 b,0.00642,0.135,295.82499999999993,42.94333333333333,595.683
Kepler-1987 c,0.00733,0.151,295.82499999999993,42.94333333333333,595.683
Kepler-18 b,0.0217,0.179,298.07945333333333,44.74633541666667,438.5
Kepler-18 c,0.054,0.49,298.07945333333333,44.74633541666667,438.5
Kepler-18 d,0.052,0.62,298.07945333333333,44.74633541666667,438.5
HATS-77 b,1.374,1.165,149.825,-26.607222222222223,414.0
HD 185283 b,1.3,1.22,295.325,-55.67777777777778,31.395
WASP-132 b,0.41,0.87,217.60912166666665,-45.159166666666664,120.0
Kepler-1920 b,0.0284,0.264,291.0625,38.86333333333334,885.913
Kepler-1772 b,0.0242,0.24,289.4375,39.27027777777778,871.564
CVSO 30 c,4.7,1.63,81.28148458333334,1.5734303333333333,330.0
OGLE-2018-BLG-1647L b,0.97,1.23,268.96250000000003,-30.183055555555555,7880.0
K2-339 b,0.0137,0.171,130.08333333333334,18.692777777777778,360.36
TOI-2497 b,5.21,1.0,90.0625,11.884166666666665,285.1
HAT-P-3 b,0.591,0.827,206.09414124999998,48.02866838888889,130.0
WASP-29 b,0.244,0.792,357.8795166666667,-38.09326113888889,80.0
KOI-3680.01,2.2,0.95,293.28159666666664,45.309672694444444,946.611
HAT-P-29 b,0.778,1.107,33.13116,51.77876722222222,322.0
TOI-262 b,0.0155,0.185,32.53333333333333,-30.929444444444446,43.932
WASP-105 b,1.8,0.96,24.16813541666667,-49.65888888888889,252.519
KIC 8435766 b,0.005882,0.109356,293.74172458333334,44.44832147222222,124.8
KMT-2018-BLG-1996L b,1.09,1.23,268.6791666666667,-21.17972222222222,5910.0
Kepler-1842 b,0.0193,0.21,286.25,42.37833333333333,923.551
TOI-3235 b,0.665,1.017,207.475,-45.93361111111111,72.811
Kepler-406 b,0.019975,0.130316,291.8480729166667,44.968257,353.6
Kepler-406 c,0.008525,0.077461,291.8480729166667,44.968257,353.6
TOI-3364 b,1.67,1.091,144.5375,-48.66472222222222,277.899
GJ 367 b,0.001718,0.06406,146.12431916666665,-44.223492916666665,9.4152
Kepler-1894 b,0.0059,0.107,295.5875,49.66694444444444,935.191
K2-398 b,0.0182,0.203,161.73333333333335,1.9366666666666668,606.992
K2-398 c,0.0718,0.455,161.73333333333335,1.9366666666666668,606.992
HATS-57 b,3.147,1.139,60.94833541666667,-18.943242583333333,281.7
EPIC 218916923 b,0.381,0.812,289.0665379166667,-16.08933041666667,152.0
HD 219666 b,0.05223,0.42,349.5567908333333,-55.09610116666667,94.43
HAT-P-19 b,0.292,1.109,9.516723333333333,34.71154227777778,215.0
BD+63 1405 b,3.96,1.16,271.39819041666664,63.66893866666666,38.0473
TOI-2445 b,0.006,0.1115,43.31666666666666,0.052500000000000005,48.6
HAT-P-39 b,0.599,1.571,113.7582475,17.83006522222222,642.0
HATS-37 A b,0.099,0.606,199.8,-21.013055555555553,211.1
TOI-4860 b,0.67,0.756,183.56249999999997,-12.825277777777778,80.1423
K2-358 b,0.0241,0.239,133.80833333333334,18.949722222222224,480.307
HD 28109 b,0.058195,0.19618,65.2375,-67.89722222222223,140.087
TOI-1288 c,0.26429,0.98,313.1666666666667,65.60888888888888,114.865
TOI-1288 b,0.13215,0.467,313.1666666666667,65.60888888888888,114.865
TOI-1749 b,0.17934,0.124,282.73749999999995,64.41944444444445,99.5561
TOI-1749 c,0.04405,0.189,282.73749999999995,64.41944444444445,99.5561
TOI-1749 d,0.0472,0.225,282.73749999999995,64.41944444444445,99.5561
HD 12235 b,0.03251,0.285,30.037499999999998,3.0958333333333337,31.7627
HD 12235 c,9.97867,1.11,30.037499999999998,3.0958333333333337,31.7627
Kepler-1932 b,0.00914,0.135,285.3333333333333,41.06388888888888,713.733
WASP-167 b,8.0,1.51,196.04389166666667,-34.54944444444444,381.0
Kepler-1983 b,0.019,0.147,297.04166666666663,39.91222222222222,424.428
LHS 1478 b,0.00733,0.1106,44.32607958333334,76.55312505555555,18.21
Kepler-35 (AB) b,0.127,0.728,294.4958333333334,46.689722222222215,1645.0
WASP-164 b,2.13,1.128,344.87341125,-59.552190055555556,322.0
K2-33 b,3.6,0.451,242.5614075,-18.680720222222224,145.0
HAT-P-63 b,0.614,1.119,279.7958333333333,-19.975833333333334,4483.05
WASP-26 b,1.028,1.281,4.60292,-14.732700694444443,250.0
TOI-5153 b,3.26,1.06,91.54166666666667,-18.046666666666667,390.1
Kepler-1833 b,0.00705,0.116,290.8708333333333,45.41027777777778,591.602
TOI-2364 b,0.225,0.768,89.12916666666666,-4.9880555555555555,219.614
HATS-61 b,3.4,1.195,61.65778125,-24.65029002777778,693.4
TOI-1470 b,0.02303,0.194,10.0875,61.21333333333334,51.9503
TOI-1470 c,0.02278,0.22,10.0875,61.21333333333334,51.9503
TrES-3 b,1.91,1.305,268.02924375,37.54617694444444,400.0
Kepler-1852 b,0.0133,0.168,288.02916666666664,40.344166666666666,772.481
TOI-220 b,0.0428,0.2694,91.79999999999998,-60.003055555555555,89.0
Kepler-1825 b,0.00821,0.127,292.5125,42.651666666666664,430.254
HAT-P-45 b,0.892,1.426,274.3732391666667,-2.61896125,305.0
Kepler-1944 b,0.0253,0.246,296.5125,39.17333333333333,1076.48
Kepler-1980 b,0.0174,0.254,295.1666666666667,38.636944444444445,1709.4
TOI-3884 b,0.05191,0.535,181.57083333333333,12.506944444444445,43.1448
HD 149026 b,0.356,0.718,247.62341,38.34730855555556,78.9
EPIC 246851721 b,3.0,1.051,78.91980708333334,16.278755027777777,336.7
HD 213885 b,0.02778,0.156,338.9846458333333,-58.1355345,47.97
Kepler-1890 b,0.00185,0.077,292.57916666666665,40.66777777777777,529.596
TOI-2421 b,0.333,0.924,33.15416666666667,-34.60916666666667,327.3
EPIC 203771098 b,0.066,0.52,242.57374041666668,-23.009650305555553,181.0
EPIC 203771098 c,0.085,0.723,242.57374041666668,-23.009650305555553,181.0
HAT-P-5 b,1.06,1.252,274.40546958333334,36.62143569444444,340.0
Kepler-1004 b,0.18,0.56,297.35932875000003,49.797525916666665,1191.33
HD 17156 b,3.191,1.095,42.43536083333333,71.75323113888889,78.24
HAT-P-67 b,0.34,2.085,256.6106704166667,44.77696322222222,320.0
K2-394 b,0.011,0.151,71.10833333333333,16.51861111111111,98.0152
K2-375 b,0.0178,0.2,130.5,20.359166666666667,696.1
GJ 411 b,0.00846,0.129,165.83414166666665,35.96988,2.5461299
GJ 411 c,0.0568,0.396,165.83414166666665,35.96988,2.5461299
KOI-3503 b,0.02895,0.106,293.15082250000006,41.72923816666667,887.064
KOI-3503 c,0.0326,0.108,293.15082250000006,41.72923816666667,887.064
BD-210397 b,0.7,1.25,33.30416666666667,-20.80388888888889,23.7324
BD-210397 c,4.8,1.15,33.30416666666667,-20.80388888888889,23.7324
CoRoT-31 b,0.84,1.46,94.82072208333332,-3.577733027777778,2190.0
HAT-P-21 b,4.063,1.024,171.27494083333335,41.027963638888885,254.0
LHS 1815 b,0.02737,0.097,91.08482791666667,-54.68698941666667,29.87
HD 93351 b,0.01113,0.152,161.67916666666667,-0.3113888888888889,56.163
HD 93351 c,13.31055,1.1,161.67916666666667,-0.3113888888888889,56.163
HAT-P-70 b,6.78,1.87,74.55234458333334,9.998000916666665,329.0
TOI-2154 b,0.92,1.453,71.02916666666667,84.36416666666666,296.3
K2-356 b,0.0184,0.204,128.32083333333335,13.661388888888888,355.54
Kepler-1930 b,0.00929,0.136,297.57916666666665,40.02777777777778,275.694
K2-99 b,0.97,1.29,208.77376375,-4.55751425,604.0
Kepler-1748 b,0.0246,0.242,285.96666666666664,45.73916666666667,1083.28
Kepler-1931 b,0.0237,0.237,290.8708333333333,43.33305555555556,620.091
TOI-2018 b,0.02895,0.202,229.8375,29.20777777777778,27.9956
TOI-615 b,0.435,1.693,133.40833333333333,-39.45638888888889,360.408
Kepler-1968 b,0.00899,0.134,291.5083333333333,45.37,750.93
HD 15906 b,0.0178,0.2,38.270833333333336,-9.647777777777778,45.5621
HD 15906 c,0.028,0.261,38.270833333333336,-9.647777777777778,45.5621
TOI-4145 A b,0.43,1.187,39.42916666666667,80.2675,205.387
K2-97 b,1.1,1.31,127.76284250000002,10.84758627777778,901.5
Kepler-1824 b,0.0197,0.212,296.7083333333333,41.203611111111115,1040.1
TOI-2158 b,0.82,0.96,276.8083333333333,20.526944444444442,200.0
TOI-1107 b,3.35,1.3,155.60833333333332,-81.78111111111112,283.61
TOI-2095 c,0.02328,0.119,285.6375,75.41861111111112,41.9176
TOI-2095 b,0.0129,0.112,285.6375,75.41861111111112,41.9176
GJ 486 b,0.00887,0.11643,191.9859370833333,9.75139775,8.0761
2MASS J2206+3301,8.0,1.3,331.605,33.02067777777778,34.4
KELT-3 b,1.462,1.358,148.64328333333333,40.38804969444445,178.0
Kepler-20 b,0.027,0.17,287.6980141666667,42.33869425,290.0
Kepler-20 c,0.051,0.27,287.6980141666667,42.33869425,290.0
